PID	%CPU	TimeStamp
0	0.0	0.010000
1	0.0	0.010000
3	0.0	0.010000
4	0.0	0.010000
5	0.0	0.010000
1	33.3	0.020000
2	33.3	0.020000
3	33.3	0.020000
4	33.3	0.020000
0	0.0	0.020000
5	0.0	0.020000
0	20.0	0.030000
2	20.0	0.030000
5	20.0	0.030000
1	0.0	0.030000
3	0.0	0.030000
4	0.0	0.030000
0	33.3	0.040000
1	33.3	0.040000
3	33.3	0.040000
2	0.0	0.040000
4	0.0	0.040000
5	0.0	0.040000
4	66.7	0.050000
5	66.7	0.050000
0	33.3	0.050000
1	33.3	0.050000
2	33.3	0.050000
3	33.3	0.050000
0	50.0	0.060000
1	25.0	0.060000
2	25.0	0.060000
3	25.0	0.060000
4	25.0	0.060000
5	0.0	0.060000
1	50.0	0.070000
2	50.0	0.070000
4	50.0	0.070000
5	50.0	0.070000
0	0.0	0.070000
3	0.0	0.070000
0	33.3	0.080000
1	33.3	0.080000
2	33.3	0.080000
3	33.3	0.080000
4	33.3	0.080000
5	0.0	0.080000
0	33.3	0.090000
1	33.3	0.090000
3	33.3	0.090000
4	33.3	0.090000
5	33.3	0.090000
2	0.0	0.090000
0	50.0	0.100000
1	50.0	0.100000
2	50.0	0.100000
3	50.0	0.100000
4	50.0	0.100000
5	50.0	0.100000
0	33.3	0.110000
2	33.3	0.110000
4	33.3	0.110000
1	0.0	0.110000
3	0.0	0.110000
5	0.0	0.110000
1	66.7	0.120000
0	33.3	0.120000
3	33.3	0.120000
4	33.3	0.120000
5	33.3	0.120000
2	0.0	0.120000
2	33.3	0.130000
5	33.3	0.130000
0	0.0	0.130000
1	0.0	0.130000
3	0.0	0.130000
4	0.0	0.130000
0	100.0	0.140000
1	100.0	0.140000
2	100.0	0.140000
3	100.0	0.140000
4	100.0	0.140000
5	100.0	0.140000
0	33.3	0.150000
1	33.3	0.150000
3	33.3	0.150000
4	33.3	0.150000
2	0.0	0.150000
5	0.0	0.150000
0	33.3	0.160000
2	33.3	0.160000
4	33.3	0.160000
5	33.3	0.160000
1	0.0	0.160000
3	0.0	0.160000
1	50.0	0.170000
3	50.0	0.170000
4	50.0	0.170000
0	0.0	0.170000
2	0.0	0.170000
5	0.0	0.170000
0	66.7	0.180000
1	66.7	0.180000
2	33.3	0.180000
3	33.3	0.180000
5	33.3	0.180000
4	0.0	0.180000
4	50.0	0.190000
0	0.0	0.190000
1	0.0	0.190000
2	0.0	0.190000
3	0.0	0.190000
5	0.0	0.190000
1	66.7	0.200000
0	33.3	0.200000
2	33.3	0.200000
3	33.3	0.200000
4	33.3	0.200000
5	33.3	0.200000
0	100.0	0.210000
2	50.0	0.210000
3	50.0	0.210000
4	50.0	0.210000
1	0.0	0.210000
5	0.0	0.210000
1	33.3	0.220000
4	33.3	0.220000
5	33.3	0.220000
0	0.0	0.220000
2	0.0	0.220000
3	0.0	0.220000
0	50.0	0.230000
1	50.0	0.230000
2	50.0	0.230000
3	50.0	0.230000
4	50.0	0.230000
5	50.0	0.230000
0	33.3	0.240000
1	33.3	0.240000
2	33.3	0.240000
5	33.3	0.240000
3	0.0	0.240000
4	0.0	0.240000
4	66.7	0.250000
0	33.3	0.250000
1	33.3	0.250000
3	33.3	0.250000
5	33.3	0.250000
2	0.0	0.250000
2	33.3	0.260000
3	33.3	0.260000
